concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
336,2051503057,Mapped from,2025-04-18,2099-12-31,
8515,2051500707,Mapped from,2025-04-18,2099-12-31,
8516,2051500626,Mapped from,2025-04-18,2099-12-31,
436073,2051505737,Mapped from,2025-04-18,2099-12-31,
436676,2051505727,Mapped from,2025-04-18,2099-12-31,
440374,2051505705,Mapped from,2025-04-18,2099-12-31,
441838,2051505719,Mapped from,2025-04-18,2099-12-31,
700253,2051503683,Mapped from,2025-04-18,2099-12-31,
700299,2051502447,Mapped from,2025-04-18,2099-12-31,
701322,2051501512,Mapped from,2025-04-18,2099-12-31,
702774,2051504321,Mapped from,2025-04-18,2099-12-31,
703083,2051502737,Mapped from,2025-04-18,2099-12-31,
703470,2051501187,Mapped from,2025-04-18,2099-12-31,
703547,2051501505,Mapped from,2025-04-18,2099-12-31,
704053,2051502630,Mapped from,2025-04-18,2099-12-31,
704599,2051501859,Mapped from,2025-04-18,2099-12-31,
704984,2051500411,Mapped from,2025-04-18,2099-12-31,
705103,2051504053,Mapped from,2025-04-18,2099-12-31,
705178,2051501056,Mapped from,2025-04-18,2099-12-31,
705755,2051503516,Mapped from,2025-04-18,2099-12-31,
705944,2051500354,Mapped from,2025-04-18,2099-12-31,
706644,2051503368,Mapped from,2025-04-18,2099-12-31,
708298,2051502962,Mapped from,2025-04-18,2099-12-31,
710062,2051502444,Mapped from,2025-04-18,2099-12-31,
710650,2051503316,Mapped from,2025-04-18,2099-12-31,
711452,2051503202,Mapped from,2025-04-18,2099-12-31,
711584,2051500110,Mapped from,2025-04-18,2099-12-31,
712757,2051502832,Mapped from,2025-04-18,2099-12-31,
713109,2051500990,Mapped from,2025-04-18,2099-12-31,
713192,2051504252,Mapped from,2025-04-18,2099-12-31,
713823,2051504208,Mapped from,2025-04-18,2099-12-31,
714684,2051504002,Mapped from,2025-04-18,2099-12-31,
714785,2051501903,Mapped from,2025-04-18,2099-12-31,
715233,2051500353,Mapped from,2025-04-18,2099-12-31,
715259,2051500909,Mapped from,2025-04-18,2099-12-31,
715458,2051500371,Mapped from,2025-04-18,2099-12-31,
715727,2051500846,Mapped from,2025-04-18,2099-12-31,
715939,2051500685,Mapped from,2025-04-18,2099-12-31,
715997,2051500466,Mapped from,2025-04-18,2099-12-31,
716968,2051502443,Mapped from,2025-04-18,2099-12-31,
718122,2051501852,Mapped from,2025-04-18,2099-12-31,
718583,2051502647,Mapped from,2025-04-18,2099-12-31,
719057,2051501962,Mapped from,2025-04-18,2099-12-31,
719128,2051501197,Mapped from,2025-04-18,2099-12-31,
719174,2051504095,Mapped from,2025-04-18,2099-12-31,
