concept_id,concept_synonym_name,language_concept_id
2051500001,SDOHO:100; Sleep,4180186
2051500002,p-Hydroxynitrobenzene; Mononitrophenol; 1-Hydroxy-4-nitrobenzene; 4-Hydroxynitrobenzene; Niphen; p-Nitrophenol; Paranitrophenol; para-Nitrophenol; para-Hydroxynitrobenzene; CHEBI:16836,4180186
2051500004,"2,8-Dibromodibenzob,dfuran; CHEBI:33083",4180186
2051500006,sn(Bu)2H2; Dibutyltin; Dibutylstannane; Di-n-butyltin; DBT; SnBu2H2; CHEBI:23686,4180186
2051500007,Trichlorochromium; Chromic chloride; Chromic chloride hexahydrate; Chromium chloride; Chromium trichloride; CrCl3; Puratronic chromium chloride; CHEBI:53351,4180186
2051500015,"OZON; Ozone heavy work; Ozone heavy, moderate, or light workloads (<2 hours); Ozone light work; Ozone moderate work; Ozone, 11CI; Ozono; Triatomic oxygen; Trioxid-2-en-2-ium-1-ide; Trioxygen; Trioxygene; Oxygen, mol (O3); CHEBI:25812",4180186
2051500016,T2; (3)H2; CHEBI:29298,4180186
2051500018,SDOHO:1003; Lives_with_Friend,4180186
2051500025,"4,4'-Diamidinodiphenoxypentane; Pentamidina; Pentacarinat; Pentacrinat; Pentam; 4,4'-(1,5-Pentanediylbis(oxy))bis-benzenecarboximidamide; P,P'-(pentamethylenedioxy)dibenzamidine; NebuPent; 1,3-Bis(4-amidinophenoxy)pentane; 1,5-Bis(4-amidinophenoxy)pentane",4180186
2051500027,Hydrogen bromide solution; Broomwaterstof; Bromwasserstoff; Bromure d'hydrogene; Hydrogen bromide in acetic acid; Hydrogen bromide (HBr2); Hydrobromic acid solution; HBR; Hydrogenbromid; Hydrogen dibromide; Acido bromidrico; Bromowodor; Bromidohydrogen; A,4180186
2051500028,"1-Bromotoluene; Phenylmethyl bromide; Cyclite; Bromotoluene, a; Bromotoluene; Bromophenylmethane; Bromomethyl-benzene; \u00c2\u00abomega\u00c2\u00bb-bromotoluene; Ambap7; Alpha-bromotoluene; a-bromotoluene; Toluene,alpha-bromo; .omega.-bromotoluene; .alph",4180186
2051500029,Ethylbenzol; alpha-methyltoluene; Aethylbenzol; Phenylethane; CHEBI:16101,4180186
2051500030,Cinnamenol; Cinnamene; Cinnamol; Styrol; Vinylbenzene; Vinyl-Benzene; Cinnaminol; Phenethylene; Phenyl-Ethylene; Phenylethene; Vinylbenzol; Phenylethylene; Ethenylbenzene; Vinyl benzene; Styrolene; Ethenyl-Benzene; CHEBI:27452,4180186
2051500032,"Dialuminum sulphate; Dialuminum sulfate; Aluminium sulfic acid; Aluminium sulphate; Aluminium sulphic acid; Aluminum sulfate; Aluminum sulfate (3:2); Aluminum sulphate; Aluminum sulphate (3:2); Aluminum trisulfate; Sulfuric acid, aluminum(3+) salt (3:2); ",4180186
2051500033,Orthoboric acid (H3BO3); Super flea eliminator; Tetraborate; Three elephant; Trihydroxidoboron; Trihydroxyborane; Trihydroxyborone; B(OH)3; (10B)Orthoboric acid; 1332-77-0 (Di-potassium salt); Acidum boricum; Ant flip; B(OH)3; Basilit b; Bluboro; Boracic ,4180186
2051500036,"Radon, isotope of mass 222; Rn; 86Rn; Radon 222; CHEBI:33314",4180186
2051500039,Fenylkyanid; Cyanobenzene; Phenyl cyanide; Phenylcyanide; C6H5-CN; Benzoic acid nitrile; Benzenenitrile; Benzenecarbonitrile; CHEBI:27991,4180186
2051500040,"Sterigmatocystine; 3a,12c-Dihydro-8-hydroxy-6-methoxy-7H-furo3',2':4,5furo2,3-cxanthen-7-one, 9CI; CHEBI:18227",4180186
2051500041,Chromium chloride; Chromous chloride; CHEBI:33038,4180186
2051500047,"1,3-Dichloropropene (cis+trans); 1,3-Dichloropropene; 1,3-Dichloro-2-propene; 1,3-Dichloro-1-propene (Z); 1,3-Dichloro-1-propene; .gamma.-chloroallyl chloride; .alpha.-chloroallyl chloride; (1Z)-1,3-Dichloro-1-propene; 1,3-DICHLOROPROPENE, HIGH BOILING, P",4180186
2051500048,"Telone II soil fumigant; (1E)-1,3-Dichloro-1-propene; (1E)-1,3-dichloroprop-1-ene; (E)-1,3-Dichloro-1-propene; (E)-1,3-Dichloropropene; 1,3-dichloro-1-propene; 1,3-dichloro-1-propene, (E)-isomer; 1,3-dichloro-1-propene, (Z)-isomer; 1,3-Dichloro-1-propylen",4180186
2051500049,"NeoClarityn; Descarboethoxyloratadine; 8-chloro-6,11-dihydro-11-(4-Piperidinylidene)-5H-benzo(5,6)cyclohepta(1,2-b)pyridine; Aerius; Claramax; Clarinex; DESLORATADINE; 8-Chloro-11-piperidin-4-ylidene-6,11-dihydro-5H-benzo5,6cyclohepta1,2-bpyridine; CHEBI:",4180186
2051500050,Deisopropylatrazine; 2-chloro-4-amino-6-Ethylamino-S-triazine; 2-amino-4-chloro-6-Ethylamino-S-triazine; 2-amino-4-chloro-6-(Ethylamino)-S-triazine; amino-2-chloro-6-Ethylamino-S-triazine; CHEBI:27399,4180186
2051500053,"HEX; 1,3,5,7-Tetraazaadamantane; 1,3,5,7-Tetraazatricyclo (3.3.1.1(3,7))decane; 1,3,5,7-Tetraazatricyclo(3.3.1.13,7)decane; 1,3,5,7-Tetraazatricyclo(3.3.1.13,7)decane hydroiodide; 1,3,5,7-Tetraazatricyclo(3.3.1.137)decane; 1,3,5,7-Tetraazatricyclo3.3.1.1(",4180186
2051500054,"Ofloxacin S-(-)-form; Reskuin; Levokacin; Levofloxacine; Levofloxacin hydrate; Tavanic; Ofloxacin; Quixin; Levofloxacinum; Levofloxacino; (-)-Ofloxacin; (3S)-(-)-9-Fluoro-3-methyl-10-(4-methyl-1-piperazinyl)-7-oxo-2,3-dihydro-7H-pyrido1,2,3-de1,4benzoxazi",4180186
