concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2052490062,Triflumizole,Observation,OMOP Exposome,Substance,S,68694-11-1,2014-12-24,2099-12-31,
2052490063,Potassium pyroantimonate,Observation,OMOP Exposome,Substance,S,10090-54-7,2014-12-24,2099-12-31,
2052490064,Forskolin,Observation,OMOP Exposome,Substance,S,64657-11-0,2014-12-24,2099-12-31,
2052490065,Fenpropimorph,Observation,OMOP Exposome,Substance,S,67306-03-0,2014-12-24,2099-12-31,
2052490066,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran",Observation,OMOP Exposome,Substance,S,39001-02-0,2014-12-24,2099-12-31,
2052490067,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Observation,OMOP SDOH,SDG Indicator,S,1.5.1,2017-03-01,2099-12-31,
2052490068,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,Observation,OMOP SDOH,SDG Indicator,S,4.7.1,2017-03-01,2099-12-31,
2052490069,Proportion of traded wildlife that was poached or illicitly trafficked,Observation,OMOP SDOH,SDG Indicator,S,15.C.1,2017-03-01,2099-12-31,
2052490070,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Observation,OMOP SDOH,SDG Indicator,S,16.B.1,2017-03-01,2099-12-31,
2052490071,Proportion of members and voting rights of developing countries in international organizations,Observation,OMOP SDOH,SDG Indicator,S,16.8.1,2017-03-01,2099-12-31,
2052490072,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",Observation,OMOP SDOH,SDG Indicator,S,13.1.1,2017-03-01,2099-12-31,
2052490073,"Minority (Hispanic Or Latino (Of Any Race); Black And African American, Not Hispanic Or Latino; American Indian And Alaska Native, Not Hispanic Or Latino; Asian, Not Hispanic Or Latino; Native Hawaiian And Other Pacific Islander, Not Hispanic Or Latino...",Observation,OMOP SDOH,SVI Item,S,M_MINRTY,2018-01-01,2099-12-31,
2052490074,"Material footprint, material footprint per capita, and material footprint per GDP",Observation,OMOP SDOH,SDG Indicator,S,8.4.1,2017-03-01,2099-12-31,
2052490075,Installed renewable energy-generating capacity in developing countries (in watts per capita),Observation,OMOP SDOH,SDG Indicator,S,7.B.1,2017-03-01,2099-12-31,
2052490076,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment,Observation,OMOP SDOH,SDG Indicator,S,13.3.1,2017-03-01,2099-12-31,
2052490077,Direct economic loss attributed to disasters in relation to global gross domestic product (GDP),Observation,OMOP SDOH,SDG Indicator,S,1.5.2,2017-03-01,2099-12-31,
