data_source_uuid,org_id,org_set_id,dataset_name,dataset_version,geom_type,geom_spec,boundary_type,has_attributes,download_method,download_subtype,download_data_standard,download_filename,download_url,download_auth,documentation_url
311,CDC/ATSDR,SVI,25-tract-2018,2018,,,tract,1,file,zip,gdb,SVI2018_MASSACHUSETTS_tract.gdb,https://svi.cdc.gov/Documents/Data/2018/db/states/Massachusetts.zip,,https://www.atsdr.cdc.gov/placeandhealth/svi/index.html
911,Census,TIGER/Line,25-tract-2018,2018,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",tract,0,file,zip,shp,tl_2018_25_tract.shp,https://www2.census.gov/geo/tiger/TIGER2018/TRACT/tl_2018_25_tract.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
1234,Census,TIGER/Line,us-county-2018,2018,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",county,0,file,zip,shp,tl_2018_us_county.shp,https://www2.census.gov/geo/tiger/TIGER2018/COUNTY/tl_2018_us_county.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
5150,NASA,SEDAC,global_pm25_concentration_1998_2016,2021,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='isourbid',geom_source_value=isourbid,geom_name=paste0(name,', ',countryeng),geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, parameters=TRUE)$epsg)""]}",custom,1,file,tar.gz,shp,global_pm25_concentration_1998_2016.shp,https://gdsc.idsc.miami.edu/download/global_pm25_concentration_1998_2016?format=shp,,https://sedac.ciesin.columbia.edu/data/set/sdei-annual-pm2-5-concentrations-countries-urban-areas-v1-1998-2016
6000,UW/SMPH,ADI,us-adi-bg-2021,2021,,,bg,1,local,zip,csv,US_2021_ADI_Census_Block_Group_v4_0_1.csv,adi-download.zip,,https://www.neighborhoodatlas.medicine.wisc.edu/
7777,EPA,AQS,annual_conc_by_monitor_2018,2018,point,,,1,file,zip,csv,annual_conc_by_monitor_2018.csv,https://aqs.epa.gov/aqsweb/airdata/annual_conc_by_monitor_2018.zip,,https://www.epa.gov/aqs
7778,EPA,AQS,annual_conc_by_monitor_2018,2018,point,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='state_count_site',geom_source_value=paste0(staged$State.Code, '_', staged$County.Code, '_', staged$Site.Num),geom_name=Local.Site.Name,geom_local_value=sf::st_as_sf(staged, coords=c('Longitude', 'Latitude'))$geometry,geom_local_epsg=dplyr::left_join(staged['Datum'], tibble(Datum = c('NAD83', 'WGS84'), epsg = c(4326, 4269)))[['epsg']])""]}",,1,file,zip,csv,annual_conc_by_monitor_2018.csv,https://aqs.epa.gov/aqsweb/airdata/annual_conc_by_monitor_2018.zip,,https://www.epa.gov/aqs
7861,EPA,AQS,daily_TEMP_2011,2011,point,"{""stage_transform"": [""dplyr::mutate(staged, geom_source_coding='state_county_site', geom_source_value=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)), geom_name = ifelse(!is.na(`Local Site Name`), `Local Site Name`, paste(Address, `State Name`, `County Name`)), geom_local_value=sf::st_as_sf(staged, coords=c('Longitude', 'Latitude'))$geometry,geom_local_epsg=ifelse(Datum == 'NAD83', 4326, 4269))"", ""dplyr::distinct(staged, Latitude, Longitude, geom_source_value, .keep_all = TRUE)""]}",,1,file,zip,csv,daily_TEMP_2011.csv,https://aqs.epa.gov/aqsweb/airdata/daily_TEMP_2011.zip,,https://www.epa.gov/aqs
7862,EPA,AQS,daily_TEMP_2012,2012,point,"{""stage_transform"": [""dplyr::mutate(staged, geom_source_coding='state_county_site', geom_source_value=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)), geom_name = ifelse(!is.na(`Local Site Name`), `Local Site Name`, paste(Address, `State Name`, `County Name`)), geom_local_value=sf::st_as_sf(staged, coords=c('Longitude', 'Latitude'))$geometry,geom_local_epsg=ifelse(Datum == 'NAD83', 4326, 4269))"", ""dplyr::distinct(staged, Latitude, Longitude, geom_source_value, .keep_all = TRUE)""]}",,1,file,zip,csv,daily_TEMP_2012.csv,https://aqs.epa.gov/aqsweb/airdata/daily_TEMP_2012.zip,,https://www.epa.gov/aqs
7863,EPA,AQS,daily_TEMP_2013,2013,point,"{""stage_transform"": [""dplyr::mutate(staged, geom_source_coding='state_county_site', geom_source_value=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)), geom_name = ifelse(!is.na(`Local Site Name`), `Local Site Name`, paste(Address, `State Name`, `County Name`)), geom_local_value=sf::st_as_sf(staged, coords=c('Longitude', 'Latitude'))$geometry,geom_local_epsg=ifelse(Datum == 'NAD83', 4326, 4269))"", ""dplyr::distinct(staged, Latitude, Longitude, geom_source_value, .keep_all = TRUE)""]}",,1,file,zip,csv,daily_TEMP_2013.csv,https://aqs.epa.gov/aqsweb/airdata/daily_TEMP_2013.zip,,https://www.epa.gov/aqs
