synonym_concept_id,synonym_name,synonym_concept_code,synonym_vocabulary_id,language_concept_id
,Hln-1,OMOP5182435,Toxin,4180186
,Hydralysin-1,OMOP5182435,Toxin,4180186
,Carinatin,OMOP5181958,Toxin,4180186
,Disintegrin echistatin,OMOP5181958,Toxin,4180186
,Disintegrin echistatin-alpha,OMOP5181958,Toxin,4180186
,Platelet aggregation activation inhibitor,OMOP5181958,Toxin,4180186
,Heat-labile enterotoxin,OMOP5181978,Toxin,4180186
,Heat-labile enterotoxin A chain,OMOP5181978,Toxin,4180186
,Heat-labile enterotoxin B chain,OMOP5181978,Toxin,4180186
,LT,OMOP5181978,Toxin,4180186
,LTP,OMOP5181978,Toxin,4180186
,d-Conotoxin,OMOP5182007,Toxin,4180186
,delta-Conotoxin,OMOP5182007,Toxin,4180186
,Delta-conotoxin SVIE,OMOP5182007,Toxin,4180186
,Delta-SVIE,OMOP5182007,Toxin,4180186
,Omega-conotoxin SO-6,OMOP5182007,Toxin,4180186
,Ometa-conotoxin-4,OMOP5182007,Toxin,4180186
,Acidic phospholipase A2 homolog vipoxin A chain,OMOP5182026,Toxin,4180186
,Acidic phospholipase A2 homolog vipoxin B chain,OMOP5182026,Toxin,4180186
,Phosphatidylcholine 2-acylhydrolase,OMOP5182026,Toxin,4180186
,svPLA2,OMOP5182026,Toxin,4180186
,Phoneutria toxin,OMOP5182034,Toxin,4180186
,PhTx,OMOP5182034,Toxin,4180186
,PhTx3,OMOP5182034,Toxin,4180186
,CRVP PsTx,OMOP5182077,Toxin,4180186
,Cysteine-rich venom protein pseudechetoxin,OMOP5182077,Toxin,4180186
,BoNT/E,OMOP5182087,Toxin,4180186
,Bontoxilysin-E,OMOP5182087,Toxin,4180186
,EntA,OMOP5182132,Toxin,4180186
,Enterotoxin A,OMOP5182132,Toxin,4180186
,SEA,OMOP5182132,Toxin,4180186
,Contryphan,OMOP5182141,Toxin,4180186
,Contryphan-Vn,OMOP5182141,Toxin,4180186
,Heteroscodratoxin-2,OMOP5182236,Toxin,4180186
,HmTx2,OMOP5182236,Toxin,4180186
,Kappa-theraphotoxin-Hm2a,OMOP5182236,Toxin,4180186
,Kappa-TRTX-Hm2a,OMOP5182236,Toxin,4180186
,'2,2',3,3',4-Pentabromo-1,1'-biphenyl',OMOP5182276,Toxin,4180186
,'2,2',3,3'-Tetrabromo-1,1'-biphenyl',OMOP5182280,Toxin,4180186
,Diphtheria toxin,OMOP5182287,Toxin,4180186
,DT,OMOP5182287,Toxin,4180186
,NAD(+)--diphthamide ADP-ribosyltransferase,OMOP5182287,Toxin,4180186
,'2,2',3,6-Tetrabromo-1,1'-biphenyl',OMOP5182288,Toxin,4180186
,a-Conotoxin,OMOP5182363,Toxin,4180186
