county_ref_id,county_name,state,county_fips,urban_density_category,pm25_baseline_mean,ses_index,centroid_lat,centroid_lon
1,Washington County,AL,AL-001,Rural,6.20133496102793,17.85,33.6930035116183,-85.387247341833
2,Jefferson County,AL,AL-002,Rural,4.32755674964267,77.25,33.3858511059322,-86.7138076426642
3,Franklin County,AL,AL-003,Rural,4.06994171795326,49.18,33.481003218407,-86.1480596532775
4,Lincoln County,AL,AL-004,Suburban,11.0272460725712,72.61,33.6311520687417,-85.4633389037542
5,Madison County,AL,AL-005,Small Town,8.43401600510986,93.43,33.2115094889581,-87.6861296612581
6,Jackson County,AL,AL-006,Rural,4.5502654691795,39.21,33.1786035592688,-86.7507394674628
7,Monroe County,AL,AL-007,Small Town,6.7510608642774,40.72,33.0288802660065,-86.2107997090926
8,Union County,AL,AL-008,Small Town,6.97909905910737,80.62,33.7895421748684,-85.686115265065
9,Clay County,AL,AL-009,Small Town,8.03748425684748,24.80,33.8975616855182,-87.3249856101143
10,Marion County,AL,AL-010,Small Town,8.7653342619951,60.02,33.263491876989,-85.6427874097765
11,Adams County,AL,AL-011,Rural,5.69792500308459,55.02,34.2060888328506,-86.7729521188682
12,Wayne County,AL,AL-012,Small Town,7.84889787293075,32.89,33.598200058375,-88.4016158699163
13,Greene County,AL,AL-013,Small Town,6.33630275468948,14.44,34.7942670734346,-86.2892118163423
14,Warren County,AL,AL-014,Small Town,6.23738174871133,82.36,32.3070802914453,-85.4097797203289
15,Fayette County,AL,AL-015,Suburban,10.3201862983191,92.90,33.8516815234979,-87.4189713455331
16,Montgomery County,AL,AL-016,Small Town,6.66273546197329,87.83,33.3320824201559,-86.1013045130706
17,Lake County,AL,AL-017,Small Town,7.40418667270092,79.19,33.2026585701801,-85.4410940578002
18,Grant County,AL,AL-018,Small Town,6.30881990337204,83.42,34.0631082775134,-87.1731159460647
19,Douglas County,AL,AL-019,Suburban,10.993185114322,27.91,32.3770715121011,-86.8452046683096
20,Hamilton County,AL,AL-020,Suburban,9.26227967300126,36.25,34.1165816823366,-85.6249209623534
21,Perry County,AL,AL-021,Small Town,8.24338948588859,27.01,34.9200313755165,-88.1646439770301
22,Pike County,AL,AL-022,Suburban,10.9542070900056,12.75,32.311183506441,-87.5011827384122
23,Polk County,AL,AL-023,Rural,4.15358624316839,25.97,32.3324017056003,-86.6506739001982
24,Randolph County,AL,AL-024,Small Town,6.24989556743554,83.81,32.6511794917713,-85.5835061545834
25,Scott County,AL,AL-025,Rural,4.62067363736316,63.54,33.4467036089675,-86.9003263084378
26,Clark County,AL,AL-026,Small Town,7.84745185796092,55.87,34.4331526290861,-86.8743985409802
27,Carroll County,AL,AL-027,Suburban,9.16336041007905,52.49,34.7671572251879,-85.0448612804187
28,Harrison County,AL,AL-028,Rural,5.42791025709065,88.80,34.0764583213362,-85.6754357343689
29,Johnson County,AL,AL-029,Small Town,7.94877145339708,21.06,33.0492390149371,-87.0852511244877
30,Knox County,AL,AL-030,Small Town,7.23574022026263,91.71,33.8703718030351,-86.0625430713777
31,Lawrence County,AL,AL-031,Suburban,9.70589504724635,17.62,34.9505790761209,-86.422393478307
32,Morgan County,AL,AL-032,Small Town,6.39961965757445,13.35,32.9121726573915,-88.3697815227406
33,Orange County,AL,AL-033,Suburban,10.102270987654,16.70,32.8392750257738,-87.7942558622364
34,Ross County,AL,AL-034,Small Town,7.79329227620576,58.64,32.3098153448782,-86.0440976953332
35,Shelby County,AL,AL-035,Small Town,7.69521002163249,55.22,33.2194779846321,-86.4733877176244
36,Sullivan County,AL,AL-036,Small Town,6.0865267338536,72.17,33.6496946703609,-88.071704214355
37,Wilson County,AL,AL-037,Small Town,8.89991759184307,57.92,32.774034330032,-85.5726491043064
38,Benton County,AL,AL-038,Rural,4.92985776189777,35.98,33.6216345784415,-85.7780178283372
39,Cass County,AL,AL-039,Rural,6.06626885311817,15.92,32.7724796272779,-85.3271708619362
40,Chester County,AL,AL-040,Suburban,10.2733905456915,92.78,34.9967712206851,-88.0022761667336
41,Washington County,AL,AL-041,Small Town,6.32031264261665,31.71,33.1750342195451,-86.3724179267431
42,Jefferson County,AL,AL-042,Suburban,9.20510643206288,83.42,34.2960726651901,-87.2196433191911
43,Franklin County,AL,AL-043,Small Town,6.35328590101268,88.85,32.8087247084749,-85.9566478093932
44,Lincoln County,AL,AL-044,Small Town,7.51883760363789,30.00,34.1508167740131,-86.8289536275917
45,Madison County,AL,AL-045,Suburban,9.60741945077665,51.31,33.8007337498595,-88.2947880916523
46,Jackson County,AL,AL-046,Small Town,7.7625455048025,89.79,33.1785357792803,-87.5509495740433
47,Monroe County,AL,AL-047,Small Town,8.13117452033346,14.99,32.8726211853428,-86.3296926104907
48,Union County,AL,AL-048,Suburban,8.97594776397824,40.26,33.2002893760814,-87.8085759350765
49,Clay County,AL,AL-049,Small Town,7.78884996735091,55.57,33.2278902303607,-87.3407242598483
50,Marion County,AL,AL-050,Small Town,6.34189738299135,67.61,32.6707835714084,-86.0173010139728
51,Adams County,AL,AL-051,Small Town,8.52619434129146,10.76,32.3878202282158,-88.2904912390324
52,Wayne County,AL,AL-052,Small Town,8.78514617520637,17.68,32.9314109800464,-86.8304801019204
53,Greene County,AL,AL-053,Small Town,7.16758128777849,89.41,32.4141488718406,-86.1246537987742
54,Warren County,AL,AL-054,Small Town,8.67499884587968,61.49,33.0865073679914,-88.3584928995433
55,Fayette County,AL,AL-055,Suburban,11.5503424811948,72.85,34.64696321994,-85.7826682974785
56,Montgomery County,AL,AL-056,Rural,3.61383911581486,52.13,32.7543084674533,-85.1830111909126
57,Lake County,AL,AL-057,Small Town,8.27263296484914,56.44,34.0780293899658,-86.9335557299652
58,Grant County,AL,AL-058,Suburban,11.0038033414689,24.13,32.9069868646476,-87.316232525651
59,Douglas County,AL,AL-059,Small Town,7.84353218430453,24.59,34.9166832098225,-87.3607708510105
60,Hamilton County,AL,AL-060,Small Town,7.70453967550243,14.65,33.2595795817719,-87.4004561035213
61,Perry County,AL,AL-061,Suburban,11.032906802063,15.84,34.7426506965463,-87.4716828397776
62,Pike County,AL,AL-062,Small Town,7.58919900543686,33.26,33.3312376964018,-87.8371274476533
63,Polk County,AL,AL-063,Small Town,6.95775753317374,69.30,33.619935485047,-87.9539280811257
64,Randolph County,AL,AL-064,Suburban,10.1998063112426,38.70,34.203816087293,-85.3587720690884
65,Scott County,AL,AL-065,Small Town,8.36344704708721,55.11,34.6663412887896,-85.7659477577278
66,Clark County,AL,AL-066,Small Town,7.30311742447765,41.18,32.3613397300217,-87.6307096784245
67,Carroll County,AL,AL-067,Small Town,7.83623465862681,32.77,32.4932038446195,-86.9390568541892
68,Washington Borough,AK,AK-001,Small Town,8.44984691868185,32.68,67.270363041348,-160.109860284568
69,Jefferson Borough,AK,AK-002,Suburban,8.57069124565481,30.55,61.3816319045612,-157.764244995618
70,Franklin Borough,AK,AK-003,Small Town,6.48476678062893,48.08,70.4065978029306,-142.807642617275
71,Lincoln Borough,AK,AK-004,Rural,6.49811921619661,27.51,59.9003707278026,-160.033532512363
72,Madison Borough,AK,AK-005,Small Town,8.19689425669711,77.01,56.1530653108807,-154.865579933113
73,Jackson Borough,AK,AK-006,Rural,4.19875727451885,85.17,62.2677741388885,-160.942551355631
74,Monroe Borough,AK,AK-007,Rural,5.21961562673886,84.80,63.0864376308818,-145.287158610076
75,Union Borough,AK,AK-008,Small Town,7.92492026715744,52.62,59.4374346529119,-160.183797919887
76,Clay Borough,AK,AK-009,Suburban,11.6219873137654,37.93,63.0048645726817,-153.672666990968
77,Marion Borough,AK,AK-010,Small Town,7.86804187307461,27.57,56.4412629252759,-152.286730548407
78,Adams Borough,AK,AK-011,Suburban,11.4067790391404,87.04,70.622780377085,-159.92177345527
79,Wayne Borough,AK,AK-012,Rural,4.48457327848923,80.32,66.6690132947342,-146.06726531455
80,Greene Borough,AK,AK-013,Small Town,8.58504447675359,11.92,70.3725681694962,-156.669092002925
81,Warren Borough,AK,AK-014,Small Town,8.69318527683549,22.43,64.8409498952291,-146.088729012607
82,Fayette Borough,AK,AK-015,Suburban,11.1010621952489,67.81,64.4275712296354,-157.528882714657
83,Montgomery Borough,AK,AK-016,Rural,3.57696516433424,38.60,63.1364835538884,-159.382471408241
84,Lake Borough,AK,AK-017,Suburban,9.57055356889931,16.73,62.7461384617683,-155.860069439856
85,Grant Borough,AK,AK-018,Small Town,8.38618245739033,25.51,55.6508778620603,-163.596899003607
86,Douglas Borough,AK,AK-019,Small Town,8.45050218860663,90.03,68.4867312601285,-149.380192417032
87,Hamilton Borough,AK,AK-020,Small Town,8.57337142378948,53.86,60.3867262523755,-147.873037841169
88,Perry Borough,AK,AK-021,Suburban,10.9910293126496,27.53,55.5590325329837,-160.651885004086
89,Pike Borough,AK,AK-022,Suburban,11.0428303270669,89.39,70.44288481889,-150.460382287467
90,Polk Borough,AK,AK-023,Small Town,6.50829742546912,41.65,57.9355630319805,-146.801621215536
91,Randolph Borough,AK,AK-024,Small Town,7.61669724039778,44.86,68.2829505397673,-157.205803100542
92,Scott Borough,AK,AK-025,Suburban,11.6835036686333,92.73,57.0377323888484,-156.12912532744
93,Clark Borough,AK,AK-026,Small Town,8.2994906862761,94.46,57.9644898613952,-153.740428114322
94,Carroll Borough,AK,AK-027,Rural,5.91102803697433,42.47,65.3219890802942,-151.867817089724
95,Harrison Borough,AK,AK-028,Suburban,11.5236488233345,25.58,68.9622788438768,-157.346017230358
96,Johnson Borough,AK,AK-029,Small Town,8.23709588809905,87.52,67.2424600203644,-151.274078723659
97,Washington County,AZ,AZ-001,Suburban,11.0959416926478,66.03,34.4143963515294,-114.031575138446
98,Jefferson County,AZ,AZ-002,Suburban,11.9492121491402,32.85,34.4008609726215,-111.463520967729
99,Franklin County,AZ,AZ-003,Urban Core,15.5989355599815,70.95,34.23045363923,-112.217156042831
100,Lincoln County,AZ,AZ-004,Suburban,9.92943878439809,92.10,33.3885849388413,-109.797442259847
101,Madison County,AZ,AZ-005,Suburban,8.36478656210585,79.98,35.6675224329731,-111.524207037798
102,Jackson County,AZ,AZ-006,Suburban,10.3473406547588,37.64,31.3118283206585,-114.314443336272
103,Monroe County,AZ,AZ-007,Suburban,8.43544932391428,18.63,31.9112460135694,-111.881276121518
104,Union County,AZ,AZ-008,Suburban,8.83898846041724,92.85,33.919847570088,-111.794488624551
105,Clay County,AZ,AZ-009,Small Town,6.68333598604423,27.77,34.0285119695777,-109.649059364384
106,Marion County,AZ,AZ-010,Small Town,6.75914425127432,67.44,32.8777512153402,-114.504115190573
107,Adams County,AZ,AZ-011,Suburban,10.0712814220355,37.58,32.1498887875016,-111.164213249443
108,Wayne County,AZ,AZ-012,Urban Core,12.0802617563885,23.38,33.6819255935638,-109.883753892132
109,Greene County,AZ,AZ-013,Small Town,8.75425305104982,45.74,33.6223632310786,-109.199622229518
110,Warren County,AZ,AZ-014,Suburban,11.931014170351,33.26,32.2526622343964,-113.167538482255
111,Fayette County,AZ,AZ-015,Suburban,10.0527788996372,41.59,33.14835720326,-110.230777556169
112,Washington County,AR,AR-001,Rural,5.53573527477621,69.17,35.2597768067251,-92.2644022741785
113,Jefferson County,AR,AR-002,Small Town,7.89566638417163,43.47,35.3201949316064,-90.5059263995754
114,Franklin County,AR,AR-003,Small Town,7.64649502035949,25.64,34.1871313733347,-90.5094700811737
115,Lincoln County,AR,AR-004,Suburban,11.4356511869697,90.67,33.9403255939832,-91.5186034667325
116,Madison County,AR,AR-005,Suburban,10.6635699025134,70.33,36.0423512908584,-94.0069828752607
117,Jackson County,AR,AR-006,Suburban,10.8285877009577,61.50,35.9355176611902,-89.6368630853028
118,Monroe County,AR,AR-007,Suburban,11.1738523286547,70.44,33.8113642578233,-90.7946030287997
119,Union County,AR,AR-008,Small Town,8.47467725538737,38.78,33.6114462440769,-93.2403664387575
120,Clay County,AR,AR-009,Small Town,6.01910838749294,83.08,34.5263711389635,-91.8999370756637
121,Marion County,AR,AR-010,Suburban,11.2874423976619,75.71,35.4044908921541,-92.9193818437762
122,Adams County,AR,AR-011,Suburban,9.1762649102319,67.62,34.8805468860683,-93.4012774171031
123,Wayne County,AR,AR-012,Rural,4.82241332868279,59.62,35.830086341596,-93.0579380500204
124,Greene County,AR,AR-013,Suburban,11.8608438762837,88.06,36.4149134025263,-91.6012407321706
125,Warren County,AR,AR-014,Small Town,6.1320329358549,75.49,34.4141910388243,-94.4071709143647
126,Fayette County,AR,AR-015,Rural,4.417145661626,82.80,34.0636211822148,-92.7806121374648
127,Montgomery County,AR,AR-016,Suburban,9.2145215826671,48.72,34.5825526141782,-90.8810445608509
128,Lake County,AR,AR-017,Small Town,8.80207549592873,52.40,36.1198637817365,-89.9361133446176
129,Grant County,AR,AR-018,Suburban,9.11713236007585,45.40,36.2655380504456,-90.1279153611563
130,Douglas County,AR,AR-019,Small Town,8.60954967661388,71.42,34.4167946798928,-92.943488114968
131,Hamilton County,AR,AR-020,Small Town,7.74480311964283,53.82,34.7926164147871,-93.5838043316205
132,Perry County,AR,AR-021,Small Town,6.4406456082333,55.78,34.7344903950328,-93.0611330238909
133,Pike County,AR,AR-022,Rural,3.96878568365462,64.75,33.0182607345225,-94.227917743407
134,Polk County,AR,AR-023,Suburban,11.0636076466807,39.22,34.9026555502935,-91.6367444187469
135,Randolph County,AR,AR-024,Small Town,8.80821982284844,46.73,34.9792651771207,-91.7197440410354
136,Scott County,AR,AR-025,Small Town,7.13796071982149,25.32,35.3158000667557,-94.2077423299732
137,Clark County,AR,AR-026,Small Town,6.40134153996376,10.83,34.0315927896561,-90.5894072780713
138,Carroll County,AR,AR-027,Small Town,6.18144287202903,94.13,34.0422134728833,-91.6840150212076
139,Harrison County,AR,AR-028,Small Town,6.13199773699194,27.63,33.057241774094,-91.4370437694339
140,Johnson County,AR,AR-029,Small Town,6.37208606598449,11.91,33.3546367943464,-92.4043981527618
141,Knox County,AR,AR-030,Suburban,10.2276280506394,89.53,34.618026681184,-92.2797784019761
142,Lawrence County,AR,AR-031,Small Town,6.048111536889,56.06,35.685234039412,-94.5921283132637
143,Morgan County,AR,AR-032,Suburban,8.198681215809,10.58,33.3018656769111,-90.6271441630785
144,Orange County,AR,AR-033,Suburban,9.60031740540116,89.95,33.7652353700436,-90.5753550513425
145,Ross County,AR,AR-034,Rural,4.93353223828257,16.15,33.737183946012,-90.6651547757351
146,Shelby County,AR,AR-035,Rural,5.65273429936308,30.83,35.323088546891,-93.6341317935745
147,Sullivan County,AR,AR-036,Rural,4.8246434036925,34.85,34.8051187609717,-92.9609931512923
148,Wilson County,AR,AR-037,Small Town,8.61281949774129,70.74,33.0048542345351,-90.6937348943599
149,Benton County,AR,AR-038,Small Town,7.87793441582324,15.65,36.0514326362143,-93.2003650121621
150,Cass County,AR,AR-039,Small Town,8.18224210994281,12.90,34.4762561498885,-89.7101815420397
151,Chester County,AR,AR-040,Rural,4.65182775113894,93.05,34.5656908823258,-93.9653630073118
152,Washington County,AR,AR-041,Small Town,7.15809193017061,19.66,34.3163231854218,-92.5069725520035
153,Jefferson County,AR,AR-042,Suburban,9.78110662012728,34.06,35.7861975575751,-92.3500833689971
154,Franklin County,AR,AR-043,Small Town,6.52664105409293,40.74,34.9899327459754,-92.4975351675541
155,Lincoln County,AR,AR-044,Suburban,8.63378065320772,79.54,34.6044056162686,-93.9840727016691
156,Madison County,AR,AR-045,Suburban,10.5995891340306,34.64,33.484471170148,-93.2400596458578
157,Jackson County,AR,AR-046,Suburban,9.22753540394357,31.15,33.9220669863466,-93.8898557905271
158,Monroe County,AR,AR-047,Small Town,7.52191822309942,24.75,33.5914423206253,-92.1078634343821
159,Union County,AR,AR-048,Small Town,7.05122683135062,28.63,35.0993771807134,-91.3189993107973
160,Clay County,AR,AR-049,Rural,3.84242699175091,63.99,35.8445048152203,-91.6315130794739
161,Marion County,AR,AR-050,Rural,3.62243907265886,86.12,33.1817388704838,-91.2163279611473
162,Adams County,AR,AR-051,Rural,4.82276230649847,61.81,34.1650977291446,-92.0354440772544
163,Wayne County,AR,AR-052,Small Town,7.48634450045958,26.55,35.0232197969398,-90.5561363337635
164,Greene County,AR,AR-053,Small Town,8.2523543852621,10.32,33.7319504696162,-92.796380093562
165,Warren County,AR,AR-054,Small Town,6.51602824290149,70.68,35.3138467525792,-94.4125828856706
166,Fayette County,AR,AR-055,Small Town,6.94257152720715,74.31,33.4654496492173,-93.0006519442453
167,Montgomery County,AR,AR-056,Suburban,11.1494097489505,36.31,33.461691561841,-90.9904093173621
168,Lake County,AR,AR-057,Small Town,6.12610607529724,70.76,35.2907859109839,-91.9745878718976
169,Grant County,AR,AR-058,Small Town,7.13430963076643,40.56,35.6993371084339,-92.7856199834535
170,Douglas County,AR,AR-059,Suburban,8.03566935201651,10.82,34.8905417836655,-92.1259385844345
171,Hamilton County,AR,AR-060,Suburban,11.2599074387957,53.37,34.2577002814937,-94.4502991819604
172,Perry County,AR,AR-061,Rural,5.18733268033626,51.62,36.0654114909648,-92.584972536993
173,Pike County,AR,AR-062,Small Town,7.22532781403322,81.10,35.8279667281677,-93.9895790425122
174,Polk County,AR,AR-063,Small Town,6.84130200073819,36.77,35.7594020124018,-93.2128774328656
175,Randolph County,AR,AR-064,Small Town,7.3897569004714,14.84,35.8635817192175,-91.0861217992794
176,Scott County,AR,AR-065,Rural,4.67689743925858,78.76,33.6633156351557,-90.815939659372
177,Clark County,AR,AR-066,Small Town,8.63406562658388,64.19,34.8002802162447,-89.6136637432789
178,Carroll County,AR,AR-067,Small Town,7.3868631166522,89.83,36.4836187189989,-90.7148552738888
179,Harrison County,AR,AR-068,Rural,6.24016785817471,27.16,33.757017811203,-93.6825680981495
180,Johnson County,AR,AR-069,Rural,4.87098397908683,61.67,33.4785357994151,-89.8173100590616
181,Knox County,AR,AR-070,Small Town,7.62938242814776,87.12,33.1404932144385,-92.8002326530988
182,Lawrence County,AR,AR-071,Small Town,6.56210986998499,76.51,33.0724757238494,-91.5635551782424
183,Morgan County,AR,AR-072,Rural,3.52099542846676,66.41,33.0466783000694,-92.6977021541461
184,Orange County,AR,AR-073,Small Town,6.98383795175438,42.32,35.7179967558131,-94.0621772370258
185,Ross County,AR,AR-074,Suburban,8.312943648773,76.63,36.3572373818729,-90.8255467311226
186,Shelby County,AR,AR-075,Small Town,8.78462333466993,40.97,33.2953860949309,-91.0579684873025
187,Washington County,CA,CA-001,Suburban,8.61112880943611,56.53,38.7770295337514,-116.902373397909
188,Jefferson County,CA,CA-002,Small Town,8.68115104026598,12.31,32.9667870595994,-119.225828672904
189,Franklin County,CA,CA-003,Small Town,8.73941549761603,81.09,38.3134348128951,-122.558522417284
190,Lincoln County,CA,CA-004,Urban Core,14.8718275288709,24.85,33.9431650692881,-114.119640524241
191,Madison County,CA,CA-005,Suburban,8.22541568630876,94.54,39.9440570855482,-123.458315493344
192,Jackson County,CA,CA-006,Suburban,10.7656586508809,73.20,37.639854448625,-115.669371112721
193,Monroe County,CA,CA-007,Small Town,8.6542059845666,91.59,35.3767014289186,-115.611438896549
194,Union County,CA,CA-008,Urban Core,14.6135890764582,48.83,41.6023396172785,-122.12448101346
195,Clay County,CA,CA-009,Suburban,9.23638184573963,16.02,41.9935825138891,-121.73083900982
196,Marion County,CA,CA-010,Urban Core,15.0646221876667,56.28,32.9338900404075,-116.812075245838
197,Adams County,CA,CA-011,Urban Core,12.0472370838117,44.26,38.0035859705714,-121.940746185024
198,Wayne County,CA,CA-012,Suburban,9.7399389457219,51.27,32.7344115506028,-117.95300362279
199,Greene County,CA,CA-013,Small Town,8.90506999054671,68.41,35.1408563299386,-115.667065830621
200,Warren County,CA,CA-014,Urban Core,14.6974738761446,31.54,35.5126331634575,-124.178998792757
201,Fayette County,CA,CA-015,Suburban,10.7912032576428,73.28,38.2583465326578,-114.884843417735
202,Montgomery County,CA,CA-016,Suburban,11.8973955287891,68.36,36.8768100174709,-123.975998385035
203,Lake County,CA,CA-017,Small Town,8.41176209687504,59.83,36.0780395941173,-118.657860763605
204,Grant County,CA,CA-018,Small Town,7.11399249372875,63.69,40.2424676055325,-115.784834841284
205,Douglas County,CA,CA-019,Urban Core,13.1379633218279,81.24,38.4807177238473,-121.942610387753
206,Hamilton County,CA,CA-020,Urban Core,14.4012781222155,79.89,39.9466507123439,-118.568032267441
207,Perry County,CA,CA-021,Suburban,8.53343296329832,44.97,41.1889022575017,-119.924365192749
208,Pike County,CA,CA-022,Urban Core,19.8241645982557,22.58,34.0635221004146,-121.171053155613
209,Polk County,CA,CA-023,Small Town,8.9865956161775,13.81,38.4328671815265,-117.806772821063
210,Randolph County,CA,CA-024,Small Town,7.63154122670681,56.97,38.0260230065652,-118.634014349547
211,Scott County,CA,CA-025,Suburban,10.4836868738304,44.24,37.089779665199,-122.611358262145
212,Clark County,CA,CA-026,Suburban,8.77866730779008,66.01,37.077581758821,-116.51075377098
213,Carroll County,CA,CA-027,Suburban,10.4007383944506,28.43,38.4301989369032,-116.83892475953
214,Harrison County,CA,CA-028,Urban Core,14.1305011961716,24.32,35.3931112421644,-122.133860541545
215,Johnson County,CA,CA-029,Suburban,10.803674609644,34.87,34.3185060157893,-114.836937779756
216,Knox County,CA,CA-030,Suburban,11.5841654125853,33.85,36.9130261273802,-123.546970451797
217,Lawrence County,CA,CA-031,Small Town,8.56708911922659,39.06,41.3890273225952,-117.920277571725
218,Morgan County,CA,CA-032,Suburban,10.6735254119907,20.61,33.6482691889983,-114.819398127918
219,Orange County,CA,CA-033,Small Town,7.39327115600937,88.70,41.930022363152,-120.394313586717
220,Ross County,CA,CA-034,Small Town,8.89848610067087,94.20,33.5609765065737,-116.722199802138
221,Shelby County,CA,CA-035,Small Town,6.7636950522173,70.19,41.0362436030727,-122.386820830369
222,Sullivan County,CA,CA-036,Urban Core,13.588023638745,73.80,34.6686810436758,-120.996134223841
223,Wilson County,CA,CA-037,Small Town,8.86369448638625,76.30,36.8057036030812,-119.461221914872
224,Benton County,CA,CA-038,Suburban,9.90018309484035,46.78,33.7317381990217,-119.326868561105
225,Cass County,CA,CA-039,Suburban,9.10730920512289,17.38,36.8416928995556,-120.069724624095
226,Chester County,CA,CA-040,Small Town,7.67940439297696,39.32,33.4384154105675,-119.275259862506
227,Washington County,CA,CA-041,Urban Core,12.9821087517619,90.66,35.5517820461561,-114.198186236892
