location_id,address_1,address_2,city,state,zip,county,location_source_value,country_concept_id,country_source_value,latitude,longitude,county_ref_id
871,38 Park Blvd,,Washington County Landing,AL,02010,Washington County,TRACT-000871,,,33.6613036878793,-85.3722182656998,1
2546,876 Washington Way,,Washington County Landing,AL,95179,Washington County,TRACT-002546,,,33.6512395418941,-85.3841558742954,1
6765,61 Franklin Ln,,Washington County Junction,AL,73576,Washington County,TRACT-006765,,,33.7258429760917,-85.3620475916202,1
8070,594 Mill Blvd,,Washington County Springs,AL,70025,Washington County,TRACT-008070,,,33.6507187319826,-85.4010592926441,1
7799,536 Mill Rd,,Washington County Heights,AL,03945,Washington County,TRACT-007799,,,33.6869758778217,-85.4267711992419,1
8162,203 Maple Way,,Washington County Springs,AL,01530,Washington County,TRACT-008162,,,33.7097181085106,-85.3441024593011,1
2301,851 River Way,,Washington County Heights,AL,69359,Washington County,TRACT-002301,,,33.6536526003482,-85.4044519488004,1
7630,555 Maple Rd,,Jefferson County Village,AL,73521,Jefferson County,TRACT-007630,,,33.3639369198252,-86.7077120320047,2
454,615 Maple Rd,,Jefferson County City,AL,42205,Jefferson County,TRACT-000454,,,33.4236177230027,-86.7307816062711,2
6612,810 Union Rd,,Jefferson County City,AL,04134,Jefferson County,TRACT-006612,,,33.3896034765657,-86.7177025099302,2
4142,409 Park Dr,,Jefferson County Crossing,AL,97953,Jefferson County,TRACT-004142,,,33.3447929821438,-86.6926992252228,2
9032,737 Franklin Rd,,Franklin County Corner,AL,47202,Franklin County,TRACT-009032,,,33.5122681050217,-86.1292955812357,3
1394,86 Mill Dr,,Franklin County Junction,AL,44822,Franklin County,TRACT-001394,,,33.4757743362078,-86.1226454669112,3
7266,93 Cedar Dr,,Franklin County Corner,AL,48628,Franklin County,TRACT-007266,,,33.478399773264,-86.1432968789515,3
8681,992 Chestnut St,,Lincoln County Crossing,AL,37410,Lincoln County,TRACT-008681,,,33.5886473935253,-85.4833342484346,4
7878,668 Franklin Ave,,Lincoln County Corner,AL,46773,Lincoln County,TRACT-007878,,,33.6598455906037,-85.4324790057796,4
524,685 Park Way,,Lincoln County Springs,AL,60057,Lincoln County,TRACT-000524,,,33.5921391231455,-85.4628345131566,4
7797,851 Park Dr,,Lincoln County Springs,AL,83549,Lincoln County,TRACT-007797,,,33.6783721252087,-85.5061366653825,4
2176,203 Union Rd,,Madison County Village,AL,37101,Madison County,TRACT-002176,,,33.2531937227994,-87.7176223397712,5
9243,475 Chestnut Blvd,,Madison County Crossing,AL,66257,Madison County,TRACT-009243,,,33.1770899822905,-87.7027345452512,5
7352,302 Main Way,,Jackson County Village,AL,44885,Jackson County,TRACT-007352,,,33.2065038183904,-86.7251559197942,6
7544,333 Oak St,,Jackson County Crossing,AL,18927,Jackson County,TRACT-007544,,,33.1917400559559,-86.7951263826771,6
781,999 Oak Ln,,Jackson County Springs,AL,98924,Jackson County,TRACT-000781,,,33.2150642484605,-86.7410047871128,6
259,162 Oak St,,Monroe County City,AL,01923,Monroe County,TRACT-000259,,,33.0422140606015,-86.1947974031136,7
9878,115 Elm Blvd,,Monroe County Corner,AL,76875,Monroe County,TRACT-009878,,,33.0567610758662,-86.1706936328596,7
1375,618 Cedar St,,Monroe County Falls,AL,48554,Monroe County,TRACT-001375,,,32.9893192549772,-86.2516525339629,7
7472,609 River Dr,,Monroe County Corner,AL,95029,Monroe County,TRACT-007472,,,33.0588141737314,-86.2421502220495,7
9967,182 Elm Way,,Union County Heights,AL,25004,Union County,TRACT-009967,,,33.82721654724,-85.6388044058387,8
6091,464 Union Rd,,Union County Falls,AL,08444,Union County,TRACT-006091,,,33.8351398408687,-85.6662224494491,8
339,540 Oak St,,Union County Falls,AL,67188,Union County,TRACT-000339,,,33.8251467156477,-85.6948018792682,8
6509,845 Union Blvd,,Clay County Landing,AL,98913,Clay County,TRACT-006509,,,33.9006518560082,-87.2841214964388,9
3929,861 Park Dr,,Clay County City,AL,07618,Clay County,TRACT-003929,,,33.8965512898253,-87.2953663810361,9
7588,983 River St,,Clay County Crossing,AL,70633,Clay County,TRACT-007588,,,33.8583847165496,-87.358376215797,9
8570,209 Highland Rd,,Marion County Village,AL,67734,Marion County,TRACT-008570,,,33.2716668686217,-85.6084454175088,10
6700,401 Cedar St,,Marion County City,AL,66100,Marion County,TRACT-006700,,,33.2831716726756,-85.6498255431336,10
1262,557 Church Ln,,Marion County Heights,AL,44572,Marion County,TRACT-001262,,,33.2153806909091,-85.6144268803667,10
2308,245 Mill Ln,,Adams County Corner,AL,17258,Adams County,TRACT-002308,,,34.1924907103795,-86.7573845557986,11
3071,545 Washington Ln,,Adams County Corner,AL,54293,Adams County,TRACT-003071,,,34.2462073862377,-86.7544068026742,11
167,136 Oak St,,Wayne County City,AL,51688,Wayne County,TRACT-000167,,,33.6051006881861,-88.4285603068534,12
814,871 Franklin St,,Wayne County Center,AL,35447,Wayne County,TRACT-000814,,,33.6058770633575,-88.4453955738605,12
239,424 Maple Dr,,Greene County Junction,AL,15663,Greene County,TRACT-000239,,,34.8198426026809,-86.2801168321759,13
9289,502 Park Rd,,Greene County Village,AL,19366,Greene County,TRACT-009289,,,34.8055340393918,-86.2592862686625,13
346,749 Cedar Blvd,,Warren County Falls,AL,95090,Warren County,TRACT-000346,,,32.2593788578719,-85.4252630894459,14
3054,622 Washington Blvd,,Warren County Crossing,AL,83884,Warren County,TRACT-003054,,,32.2843250448902,-85.4530764981158,14
2415,791 Main Blvd,,Fayette County Springs,AL,71962,Fayette County,TRACT-002415,,,33.8341845779167,-87.4593668623189,15
4835,321 Franklin Ave,,Fayette County Center,AL,04178,Fayette County,TRACT-004835,,,33.8907186227307,-87.4556694096935,15
6301,750 Cedar Blvd,,Fayette County Landing,AL,57470,Fayette County,TRACT-006301,,,33.8519413465751,-87.3901763771583,15
8265,433 Church St,,Fayette County Springs,AL,42858,Fayette County,TRACT-008265,,,33.8518509001003,-87.4616640489157,15
6849,585 Union Way,,Fayette County Village,AL,90518,Fayette County,TRACT-006849,,,33.8959300988637,-87.4505467461271,15
3559,782 Mill Way,,Fayette County Crossing,AL,88394,Fayette County,TRACT-003559,,,33.8417382121071,-87.3891276308315,15
4215,365 River Blvd,,Montgomery County Falls,AL,20648,Montgomery County,TRACT-004215,,,33.3736683673726,-86.1031499256154,16
8878,48 Washington St,,Montgomery County Springs,AL,51704,Montgomery County,TRACT-008878,,,33.3237879582265,-86.0950658442214,16
