concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000000001,0D (Zero-Dimensional) Geometry,Observation,OMOP GIS,Geometry Item,S,OMOP5181866,2023-09-29,2099-12-31,
2000000002,1D (One-Dimensional) Geometry,Observation,OMOP GIS,Geometry Item,S,OMOP5181983,2023-09-29,2099-12-31,
2000000003,2D (Two-Dimensional) Geometry,Observation,OMOP GIS,Geometry Item,S,OMOP5182196,2023-09-29,2099-12-31,
2000000004,2nd Highest 1-Hour Measurement Of Carbon Monoxide (Co) In The Year (Ppm),Phenotypic Feature,SDOH,AHRQ Item,S,EPAA_2NDMAX_CO_1HR,2023-09-29,2099-12-31,
2000000005,2nd Highest 24-Hour Average Of Pm10 In The Year,Phenotypic Feature,SDOH,AHRQ Item,S,EPAA_2NDMAX_PM10_24HR,2023-09-29,2099-12-31,
2000000006,2nd Highest 24-Hour Average Of Sulfur Dioxide (So2) In The Year,Phenotypic Feature,SDOH,AHRQ Item,S,EPAA_2NDMAX_SO2_24HR,2023-09-29,2099-12-31,
2000000007,2nd Highest Daily Max 1-Hour Measurement Of Ozone (O3) In The Year (Ppm),Phenotypic Feature,SDOH,AHRQ Item,S,EPAA_2NDMAX_O3_1HR,2023-09-29,2099-12-31,
2000000008,2nd Highest Non-Overlapping 8-Hour Average Of Carbon Monoxide (Co) In The Year (Ppm),Phenotypic Feature,SDOH,AHRQ Item,S,EPAA_2NDMAX_CO_8HR,2023-09-29,2099-12-31,
2000000009,4th Highest Daily Max 8-Hour Average Of Ozone (O3) In The Year (Ppm),Phenotypic Feature,SDOH,AHRQ Item,S,EPAA_4THMAX_O3_8HR,2023-09-29,2099-12-31,
2000000010,98th Percentile Of The Daily Average Measurements In The Year Of Pm2.5 (Ug/M3),Phenotypic Feature,SDOH,AHRQ Item,S,EPAA_98PR_PM25_DAILY,2023-09-29,2099-12-31,
2000000011,98th Percentile Of The Daily Max 1-Hour Measurements Of Nitrogen Dioxide (No2) In The Year (Ppb),Phenotypic Feature,SDOH,AHRQ Item,S,EPAA_98PR_NO2_1HR,2023-09-29,2099-12-31,
2000000012,99th Percentile Of The Daily Max 1-Hour Measurements Of Sulfur Dioxide (So2) In The Year,Phenotypic Feature,SDOH,AHRQ Item,S,EPAA_99PR_SO2_1HR,2023-09-29,2099-12-31,
2000000013,Access To Clean Water,Phenotypic Feature,SDOH,SDOH Determinant,S,OMOP5182135,2023-09-29,2099-12-31,
2000000014,Access To Education,Phenotypic Feature,SDOH,SDOHO Construct,S,574,2023-09-29,2099-12-31,
2000000015,Access To Exercise,Phenotypic Feature,SDOH,AHRQ Determinant,S,OMOP5181977,2023-09-29,2099-12-31,
2000000016,Access To Exercise in Population,Phenotypic Feature,SDOH,SDOH Construct,S,OMOP5182064,2023-09-29,2099-12-31,
2000000017,Access To Green Spaces,Phenotypic Feature,SDOH,SDOH Determinant,S,OMOP5181948,2023-09-29,2099-12-31,
2000000018,Access To Health Service,Phenotypic Feature,SDOH,SDOHO Construct,S,220,2023-09-29,2099-12-31,
2000000019,Access To Health Technology,Phenotypic Feature,SDOH,SDOHO Construct,S,744,2023-09-29,2099-12-31,
2000000020,Access To Healthcare Services,Phenotypic Feature,SDOH,SDOH Determinant,S,OMOP5181960,2023-09-29,2099-12-31,
2000000021,Access To Healthy And Nutritious Option,Phenotypic Feature,SDOH,SDOHO Construct,S,47,2023-09-29,2099-12-31,
2000000022,Address,Phenotypic Feature,SDOH,SDOHO Geo Item,S,175,2023-09-29,2099-12-31,
2000000023,Adherence,Phenotypic Feature,SDOH,SDOHO Determinant,S,106,2023-09-29,2099-12-31,
2000000024,Adjacent County,Phenotypic Feature,SDOH,AHRQ Geo Item,S,Adjacent County,2023-09-29,2099-12-31,
2000000025,Adjacent County 1 Fips Code (State And County),Phenotypic Feature,SDOH,AHRQ Geo Item,S,CAF_ADJ_COUNTY_1,2023-09-29,2099-12-31,
2000000026,Adjacent County 10 Fips Code (State And County),Phenotypic Feature,SDOH,AHRQ Geo Item,S,CAF_ADJ_COUNTY_10,2023-09-29,2099-12-31,
