concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
506658,<REDACTED>,Metadata,Metadata,OMOP GIS,,1053001000000103,2016-10-01,2099-12-31,
506672,<REDACTED>,Metadata,Metadata,OMOP GIS,,1053151000000101,2016-10-01,2099-12-31,
507400,<REDACTED>,Metadata,Metadata,OMOP GIS,,1061561000000101,2016-10-01,2099-12-31,
507401,<REDACTED>,Metadata,Metadata,OMOP GIS,,1061571000000108,2016-10-01,2099-12-31,
507402,<REDACTED>,Metadata,Metadata,OMOP GIS,,1061581000000105,2016-10-01,2099-12-31,
507403,<REDACTED>,Metadata,Metadata,OMOP GIS,,1061591000000107,2016-10-01,2099-12-31,
507438,<REDACTED>,Metadata,Metadata,OMOP GIS,,1062001000000100,2016-10-01,2099-12-31,
507439,<REDACTED>,Metadata,Metadata,OMOP GIS,,1062021000000109,2016-10-01,2099-12-31,
507440,<REDACTED>,Metadata,Metadata,OMOP GIS,,1062031000000106,2016-10-01,2099-12-31,
507441,<REDACTED>,Metadata,Metadata,OMOP GIS,,1062041000000102,2016-10-01,2099-12-31,
507446,<REDACTED>,Metadata,Metadata,OMOP GIS,,1062101000000104,2016-10-01,2099-12-31,
507447,<REDACTED>,Metadata,Metadata,OMOP GIS,,1062111000000102,2016-10-01,2099-12-31,
507448,<REDACTED>,Metadata,Metadata,OMOP GIS,,1062121000000108,2016-10-01,2099-12-31,
507449,<REDACTED>,Metadata,Metadata,OMOP GIS,,1062131000000105,2016-10-01,2099-12-31,
507450,<REDACTED>,Metadata,Metadata,OMOP GIS,,1062141000000101,2016-10-01,2099-12-31,
507602,<REDACTED>,Metadata,Metadata,OMOP GIS,,1064061000000108,2016-10-01,2099-12-31,
507606,<REDACTED>,Metadata,Metadata,OMOP GIS,,1064121000000101,2016-10-01,2099-12-31,
507745,<REDACTED>,Metadata,Metadata,OMOP GIS,,1061551000000104,2016-10-01,2099-12-31,
507749,<REDACTED>,Metadata,Metadata,OMOP GIS,,1062011000000103,2016-10-01,2099-12-31,
600770,<REDACTED>,Metadata,Metadata,OMOP GIS,,9001000175100,2021-01-31,2099-12-31,
600771,<REDACTED>,Metadata,Metadata,OMOP GIS,,9011000175102,2021-01-31,2099-12-31,
601183,<REDACTED>,Metadata,Metadata,OMOP GIS,,462541000124109,2021-03-01,2099-12-31,
601787,<REDACTED>,Metadata,Metadata,OMOP GIS,,470901000124106,2021-09-01,2099-12-31,
601789,<REDACTED>,Metadata,Metadata,OMOP GIS,,470921000124101,2021-09-01,2099-12-31,
