concept_id_1,concept_id_2,concept_code_1,concept_code_2,vocabulary_id_1,vocabulary_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000000308,2000001643.0,100,OMOP5182059,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000000308,2000001642.0,100,OMOP5182137,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000000308,2000000279.0,100,49,SDOH,SDOH,Is a,2023-09-29,2099-12-31,
2000000023,2000001453.0,106,277,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000000023,2000000500.0,106,276,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000000023,2000002196.0,106,87,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000000023,2000000279.0,106,49,SDOH,SDOH,Is a,2023-09-29,2099-12-31,
2000001651,2000001650.0,109,818,SDOH,SDOH,Is a,2023-09-29,2099-12-31,
2000000171,2000000484.0,111,112,SDOH,SDOH,Is a,2023-09-29,2099-12-31,
2000000484,2000000065.0,112,116,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000000484,2000000482.0,112,134,SDOH,SDOH,Is a,2023-09-29,2099-12-31,
2000000484,2000000282.0,112,449,SDOH,SDOH,Is a,2023-09-29,2099-12-31,
2000000484,2000000171.0,112,111,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000000484,2000002189.0,112,153,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000000484,46235215.0,112,76691-5,SDOH,LOINC,Subsumes,2023-09-29,2099-12-31,
2000000065,2000000484.0,116,112,SDOH,SDOH,Is a,2023-09-29,2099-12-31,
2000000362,2000000303.0,12,13,SDOH,SDOH,Is a,2023-09-29,2099-12-31,
2000000287,2000000140.0,121,70,SDOH,SDOH,Is a,2023-09-29,2099-12-31,
2000000287,2000000375.0,121,470,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000000144,2000001572.0,125,126,SDOH,SDOH,Is a,2023-09-29,2099-12-31,
2000000144,2000000043.0,125,358,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000000144,2000000143.0,125,356,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000000144,8516.0,125,3,SDOH,Race,Maps to,2023-09-29,2099-12-31,
2000001572,2000001574.0,126,Race/Ethnicity,SDOH,SDOH,Is a,2023-09-29,2099-12-31,
2000001572,2000000925.0,126,194,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000001572,2000000282.0,126,449,SDOH,SDOH,Is a,2023-09-29,2099-12-31,
2000001572,2000000144.0,126,125,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000001572,2000002245.0,126,166,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000001572,2000000100.0,126,130,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000001572,2000000996.0,126,198,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000001572,2000001573.0,126,OMOP5182131,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000001731,2000001734.0,128,661,SDOH,SDOH,Is a,2023-09-29,2099-12-31,
2000000303,2000000279.0,13,49,SDOH,SDOH,Is a,2023-09-29,2099-12-31,
2000000303,40769010.0,13,66337-7,SDOH,LOINC,Subsumes,2023-09-29,2099-12-31,
2000000303,2000000359.0,13,192,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000000303,4195380.0,13,68130003,SDOH,SNOMED,Maps to,2023-09-29,2099-12-31,
2000000303,46234751.0,13,76460-5,SDOH,LOINC,Subsumes,2023-09-29,2099-12-31,
2000000303,2000000362.0,13,12,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000000303,2000000361.0,13,19,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000000303,2000000015.0,13,OMOP5181977,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000000303,2000000295.0,13,OMOP5181862,SDOH,SDOH,Is a,2023-09-29,2099-12-31,
2000000303,2000001703.0,13,26,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000000303,2000000702.0,13,36,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000000303,2000000360.0,13,164,SDOH,SDOH,Subsumes,2023-09-29,2099-12-31,
2000000303,35815026.0,13,104900,SDOH,UK Biobank,Subsumes,2023-09-29,2099-12-31,
2000000303,35815027.0,13,104910,SDOH,UK Biobank,Subsumes,2023-09-29,2099-12-31,
2000000303,35815028.0,13,104920,SDOH,UK Biobank,Subsumes,2023-09-29,2099-12-31,
2000000303,35609828.0,13,1086511000000107,SDOH,SNOMED,Subsumes,2023-09-29,2099-12-31,
2000000303,35810870.0,13,10962,SDOH,UK Biobank,Subsumes,2023-09-29,2099-12-31,
2000000303,35810871.0,13,10971,SDOH,UK Biobank,Subsumes,2023-09-29,2099-12-31,
2000000303,36685589.0,13,1099601000000102,SDOH,SNOMED,Subsumes,2023-09-29,2099-12-31,
2000000303,36685599.0,13,1099701000000109,SDOH,SNOMED,Subsumes,2023-09-29,2099-12-31,
2000000303,36685604.0,13,1099751000000105,SDOH,SNOMED,Subsumes,2023-09-29,2099-12-31,
2000000303,36685614.0,13,1099851000000102,SDOH,SNOMED,Subsumes,2023-09-29,2099-12-31,
2000000303,3033487.0,13,28323-4,SDOH,LOINC,Subsumes,2023-09-29,2099-12-31,
2000000303,3022091.0,13,28324-2,SDOH,LOINC,Subsumes,2023-09-29,2099-12-31,
2000000303,3012730.0,13,28325-9,SDOH,LOINC,Subsumes,2023-09-29,2099-12-31,
2000000303,3006951.0,13,28501-5,SDOH,LOINC,Subsumes,2023-09-29,2099-12-31,
2000000303,3006630.0,13,28502-3,SDOH,LOINC,Subsumes,2023-09-29,2099-12-31,
2000000303,3027725.0,13,28503-1,SDOH,LOINC,Subsumes,2023-09-29,2099-12-31,
2000000303,4126082.0,13,288325001,SDOH,SNOMED,Subsumes,2023-09-29,2099-12-31,
2000000303,3037318.0,13,38223-4,SDOH,LOINC,Subsumes,2023-09-29,2099-12-31,
