"concept_id_1","concept_id_2","concept_code_1","concept_code_2","vocabulary_id_1","vocabulary_id_2","relationship_id","valid_start_date","valid_end_date","invalid_reason"
,,"100","OMOP5182059","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"100","OMOP5182137","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"100","49","SDOH","SDOH","Is a","2023-09-29","2099-12-31",
,,"106","277","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"106","276","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"106","87","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"106","49","SDOH","SDOH","Is a","2023-09-29","2099-12-31",
,,"109","818","SDOH","SDOH","Is a","2023-09-29","2099-12-31",
,,"111","112","SDOH","SDOH","Is a","2023-09-29","2099-12-31",
,,"112","116","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"112","134","SDOH","SDOH","Is a","2023-09-29","2099-12-31",
,,"112","449","SDOH","SDOH","Is a","2023-09-29","2099-12-31",
,,"112","111","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"112","153","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"112","76691-5","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"116","112","SDOH","SDOH","Is a","2023-09-29","2099-12-31",
,,"12","13","SDOH","SDOH","Is a","2023-09-29","2099-12-31",
,,"121","70","SDOH","SDOH","Is a","2023-09-29","2099-12-31",
,,"121","470","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"125","126","SDOH","SDOH","Is a","2023-09-29","2099-12-31",
,,"125","358","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"125","356","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"125","3","SDOH","Race","Maps to","2023-09-29","2099-12-31",
,,"126","Race/Ethnicity","SDOH","SDOH","Is a","2023-09-29","2099-12-31",
,,"126","194","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"126","449","SDOH","SDOH","Is a","2023-09-29","2099-12-31",
,,"126","125","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"126","166","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"126","130","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"126","198","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"126","OMOP5182131","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"128","661","SDOH","SDOH","Is a","2023-09-29","2099-12-31",
,,"13","49","SDOH","SDOH","Is a","2023-09-29","2099-12-31",
,,"13","66337-7","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","192","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"13","68130003","SDOH","SNOMED","Maps to","2023-09-29","2099-12-31",
,,"13","76460-5","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","12","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"13","19","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"13","OMOP5181977","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"13","OMOP5181862","SDOH","SDOH","Is a","2023-09-29","2099-12-31",
,,"13","26","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"13","36","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"13","164","SDOH","SDOH","Subsumes","2023-09-29","2099-12-31",
,,"13","104900","SDOH","UK Biobank","Subsumes","2023-09-29","2099-12-31",
,,"13","104910","SDOH","UK Biobank","Subsumes","2023-09-29","2099-12-31",
,,"13","104920","SDOH","UK Biobank","Subsumes","2023-09-29","2099-12-31",
,,"13","1086511000000107","SDOH","SNOMED","Subsumes","2023-09-29","2099-12-31",
,,"13","10962","SDOH","UK Biobank","Subsumes","2023-09-29","2099-12-31",
,,"13","10971","SDOH","UK Biobank","Subsumes","2023-09-29","2099-12-31",
,,"13","1099601000000102","SDOH","SNOMED","Subsumes","2023-09-29","2099-12-31",
,,"13","1099701000000109","SDOH","SNOMED","Subsumes","2023-09-29","2099-12-31",
,,"13","1099751000000105","SDOH","SNOMED","Subsumes","2023-09-29","2099-12-31",
,,"13","1099851000000102","SDOH","SNOMED","Subsumes","2023-09-29","2099-12-31",
,,"13","28323-4","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","28324-2","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","28325-9","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","28501-5","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","28502-3","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","28503-1","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","288325001","SDOH","SNOMED","Subsumes","2023-09-29","2099-12-31",
,,"13","38223-4","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","391105003","SDOH","SNOMED","Subsumes","2023-09-29","2099-12-31",
,,"13","46858-7","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","46859-5","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","46860-3","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","4751000","SDOH","SNOMED","Subsumes","2023-09-29","2099-12-31",
,,"13","6164","SDOH","UK Biobank","Subsumes","2023-09-29","2099-12-31",
,,"13","62561-6","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","62812-3","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","62823-0","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","62830-5","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","62831-3","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","62832-1","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","62834-7","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","62836-2","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","62842-0","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","62844-6","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","62845-3","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","63867-6","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","66233-8","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","66239-5","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","66281-7","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","66286-6","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","66333-6","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","770231000000109","SDOH","SNOMED","Subsumes","2023-09-29","2099-12-31",
,,"13","77242-6","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","77293-9","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","77582-5","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","77591-6","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","77592-4","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","77593-2","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","77594-0","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","77595-7","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","82287-4","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","82290-8","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","82291-6","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","82292-4","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","82293-2","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","82294-0","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","859981000000107","SDOH","SNOMED","Subsumes","2023-09-29","2099-12-31",
,,"13","88379-3","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","88380-1","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","88388-4","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","88402-3","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","88412-2","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","88419-7","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","88420-5","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","88421-3","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","88422-1","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","88423-9","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","88424-7","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
,,"13","88425-4","SDOH","LOINC","Subsumes","2023-09-29","2099-12-31",
