observation_concept_id,observation_name,mean_value,n
2051504006,AQI_CATEGORY,33.54,10000
2051504004,BROADBAND_ACCESS_PCT,77.13,10000
2051502048,EDUCATION_YEARS,14.79,10000
2051501588,EMPLOYMENT,0.81,10000
2051504000,FOOD_INSECURITY_RATE,16.58,10000
2051503305,HOUSING_COST_PCT,36.56,10000
2051502386,NEIGHBORHOOD_DISADVANTAGE,0.47,10000
2051504001,PCP_ACCESS_RATIO,13.54,10000
2051503454,POVERTY_RATE,23.90,10000
2051504002,SOCIAL_ISOLATION_INDEX,0.38,10000
2051504003,UNINSURED_RATE,13.42,10000
2051504005,VIOLENT_CRIME_RATE,11.44,10000
